TR1,TR2,TP1,TP2
44064971,215852421,43998227,215785781
44027847,215945352,43961106,215878713
43950296,215970151,43883557,215903528
43919389,215982155,43852628,215915491
44005795,215840971,43939038,215774301
44019603,215967958,43952872,215901293
44078514,215894678,44011769,215828046
44022253,215906390,43955499,215839763
43919456,216000517,43852692,215933856
44071704,216031560,44004953,215964904
43915827,216056853,43849059,215990221
44076943,215958206,44010192,215891569
44069096,215919451,44002345,215852824
44092491,216135673,44025759,216069045
43996168,215918651,43929405,215852024
44044316,215985181,43977571,215918564
44000542,216029991,43933786,215963362
44043940,216089494,43977194,216022876
43957831,215888391,43891076,215821753
43872216,216126587,43805461,216059944
44097238,216098192,44030464,216031530
44072820,216115403,44006079,216048780
43984925,216013875,43918188,215947235
44026515,215898033,43959776,215831405
44060459,215982351,43993725,215915733
44004518,216034206,43937752,215967578
44008999,215989284,43942241,215922649
44098367,216155924,44031584,216089281
44068911,216035866,44002157,215969233
43961632,216164631,43894884,216098016
44022218,216024201,43955454,215957558
44058132,215926834,43991391,215860204
44070432,216095285,44003677,216028640
44017058,215914158,43950300,215847518
43956044,216163075,43889289,216096436
44147499,215975203,44080742,215908565
44122919,215924506,44056168,215857881
44199209,216023326,44132463,215956695
44248938,215991001,44182195,215924374
44086252,215887982,44019500,215821332
44068995,216057786,44002254,215991165
44170546,215881997,44103794,215815374
44132311,215923320,44065563,215856681
44242498,215986197,44175749,215919550
44126824,216044504,44060068,215977880
44206691,216125923,44139932,216059293
44153932,216093185,44087180,216026548
44121185,216003036,44054431,215936415
44232817,215953871,44166060,215887247
44139689,216104334,44072964,216037719
44117811,215925019,44051063,215858381
44090784,215937171,44024031,215870560
44069410,215991862,44002652,215925214
44152946,215960548,44086193,215893902
44130070,216092472,44063307,216025834
44104620,216019090,44037877,215952468
44084328,216016864,44017567,215950232
44181312,216018701,44114565,215952064
44280926,215953402,44214173,215886754
44249031,215919232,44182274,215852601
44224933,216032391,44158180,215965787
44327864,215989383,44261117,215922760
44244343,216009927,44177588,215943305
44209449,215854854,44142700,215788247
44309252,215979332,44242482,215912700
44282605,216014160,44215861,215947539
44257067,216098069,44190311,216031445
44225952,216026782,44159194,215960160
44126698,216126022,44059955,216059414
44177630,215999859,44110870,215933218
44210606,216113310,44143847,216046674
44248631,215984140,44181886,215917513
44202349,216043236,44135588,215976595
44245222,215920464,44178450,215853850
44253854,216079785,44187107,216013154
44226742,215962521,44159975,215895882
44292715,216091597,44225956,216024981
44255254,215979041,44188501,215912426
44249557,215923298,44182817,215856683
44149098,216163537,44082351,216096918
44318465,215915835,44251726,215849215
44361910,215957378,44295157,215890762
44265077,216050131,44198326,215983499
44213791,215955485,44147030,215888865
44263905,215910493,44197152,215843871
44250646,215978539,44183902,215911914
44215977,216016775,44149228,215950167
44199206,216122665,44132452,216056026
44214224,216093794,44147468,216027184
44266721,216088929,44199974,216022303
44378555,215983227,44311799,215916613
44287125,216135568,44220383,216068971
44382131,215927931,44315375,215861325
44539135,216000299,44472381,215933697
44326510,215917524,44259762,215850898
44165082,216090720,44098335,216024102
44255499,216057122,44188746,215990517
44300845,216074267,44234084,216007635
44409080,216019789,44342323,215953160
44293533,216005272,44226788,215938659
44454960,216089102,44388214,216022480
44315832,216133512,44249068,216066888
44355345,216015124,44288612,215948527
44510055,215983839,44443295,215917209
44624752,215933138,44557979,215866512
44210017,216171229,44143271,216104607
44241741,216006876,44175003,215940275
44382054,216060123,44315294,215993498
44246897,215928535,44180129,215861903
