TR1,TR2,TP1,TP2
44026462,216397088,43959869,216329634
44071325,216432098,44004732,216364643
44081886,216592547,44015293,216525090
43932091,216367542,43865508,216300101
44052004,216354146,43985407,216286684
44036141,216292691,43969549,216225235
44027477,216296238,43960885,216228779
44032642,216453369,43966054,216385918
43956946,216436404,43890349,216368942
43996998,216279098,43930407,216211642
43880436,216344969,43813835,216277516
43948728,216293572,43882126,216226120
44006839,216399283,43940260,216331849
43916542,216401531,43849941,216334082
43961399,216441155,43894807,216373705
43967859,216472078,43901262,216404621
44013714,216299771,43947115,216232302
44012414,216378363,43945819,216310914
43957831,216345908,43891232,216278457
44008160,216284321,43941566,216216864
43958763,216365967,43892177,216298517
44027775,216357374,43961182,216289921
44020067,216362009,43953477,216294557
43961181,216328212,43894602,216260771
43946305,216481333,43879714,216413887
44073228,216179314,44006626,216111860
43997847,216329957,43931261,216262505
43979224,216310698,43912623,216243240
43993860,216248443,43927266,216180988
43986441,216350071,43919844,216282615
44095693,216575673,44029108,216508211
44032392,216376308,43965804,216308856
44069931,216613201,44003339,216545749
44003001,216395962,43936411,216328519
44077429,216184332,44010830,216116875
43998253,216359756,43931663,216292307
44099244,216619728,44032654,216552276
44071138,216410281,44004537,216342814
43956514,216436845,43889914,216369374
44031359,216456188,43964768,216388737
44092364,216559530,44025768,216492084
43879435,216406386,43812853,216338933
43862620,216230697,43796029,216163236
44001939,216347369,43935346,216279917
43956512,216302686,43889927,216235232
44040627,216418747,43974039,216351309
44006987,216311604,43940395,216244149
43962050,216350912,43895458,216283454
43886369,216237168,43819759,216169695
43926304,216333917,43859724,216266464
43999007,216243300,43932408,216175841
43984192,216456247,43917600,216388800
43993961,216369679,43927370,216302231
43952486,216422429,43885893,216354970
44023603,216291908,43957012,216224461
43972884,216343662,43906297,216276204
44009762,216395351,43943184,216327902
43941216,216270888,43874622,216203424
43956641,216400870,43890040,216333407
44109264,216506802,44042677,216439344
43916288,216435580,43849684,216368128
44045868,216368465,43979282,216301012
43976821,216485131,43910222,216417675
44020905,216437458,43954317,216370007
44033215,216322761,43966611,216255297
