TR1,TR2,TP1,TP2
44024393,216022305,43957506,215956407
44035600,216011607,43968703,215945712
44061414,215996032,43994509,215930138
43924176,216069271,43857287,216003376
43997154,215930262,43930256,215864350
43993085,216054134,43926193,215988227
44019018,216030257,43952134,215964342
44004324,216030106,43937426,215964188
44013519,216103342,43946625,216037425
44037885,216019577,43970999,215953667
44025208,216068101,43958306,216002184
44095271,215944298,44028368,215878361
43985416,216012676,43918519,215946744
44053046,215954252,43986163,215888330
43995103,216072623,43928215,216006689
43996393,216073894,43929506,216007959
43999569,215978555,43932683,215912623
44001038,215986817,43934159,215920882
43992156,216006454,43925266,215940516
44067594,215926905,44000717,215860982
44044034,216157839,43977158,216091902
44034570,216010132,43967674,215944182
43991609,216076152,43924703,216010183
43872625,216136246,43805739,216070287
43933174,215928252,43866288,215862282
44053758,216064169,43986883,215998210
43956919,216050932,43890038,215984969
43995576,216007678,43928702,215941704
44000233,215992269,43933347,215926295
43999546,216055936,43932671,215989958
43970435,216033852,43903556,215967869
43919032,216089864,43852156,216023880
44037909,215879338,43971037,215813355
43994848,215983329,43927964,215917344
43919380,216068522,43852510,216002540
43943041,215988530,43876180,215922559
43932258,215921516,43865381,215855518
44013522,215916034,43946643,215850030
44027594,215965431,43960719,215899446
44018497,216092803,43951618,216026815
43948818,216122557,43881938,216056558
44043352,216001411,43976477,215935400
43970292,215959277,43903411,215893260
44030711,215911130,43963837,215845129
43988099,215993669,43921224,215927677
44063639,216079936,43996767,216013929
43921462,216092570,43854592,216026570
43984452,216008603,43917578,215942588
43940794,216091172,43873923,216025158
44021492,216091903,43954610,216025868
43961240,216009794,43894368,215943784
44032914,216011852,43966035,215945838
44024408,215966620,43957530,215900584
44099104,216008656,44032227,215942624
43994896,215931612,43928033,215865584
44060618,216008235,43993747,215942198
44002343,215978442,43935467,215912409
44003335,215992808,43936463,215926777
43940201,216095362,43873336,216029335
44069907,215974895,44003032,215908845
44027400,216017393,43960536,215951352
43951964,215849115,43885092,215783076
44027494,216098215,43960619,216032154
43974388,216026885,43907520,215960844
44056896,215998143,43990037,215932096
43933437,215934210,43866575,215868163
43929075,215972872,43862203,215906829
43917877,216008654,43851009,215942603
43944874,216048226,43878012,215982166
44071028,216051103,44004161,215985036
44033681,216173957,43966815,216107887
43911714,216023030,43844844,215956958
44043572,216131289,43976706,216065228
44028316,216131710,43961452,216065636
43989831,216001741,43922962,215935673
43919512,215982459,43852662,215916392
44104615,215991420,44037750,215925337
43995722,216130000,43928856,216063926
44004477,215919534,43937613,215853443
43885592,216026114,43818724,215960040
43927911,216134332,43861044,216068249
44013148,215960523,43946288,215894436
44004619,216117010,43937757,216050933
43966841,215969955,43899983,215903879
44115834,216069809,44048967,216003718
43999511,215934218,43932652,215868137
43988069,215884738,43921214,215818651
44005185,215995616,43938327,215929535
44071871,215998563,44005015,215932481
43962810,216052337,43895946,215986246
44069689,215922925,44002828,215856839
44080756,215968700,44013891,215902604
43913050,216093393,43846196,216027302
44041731,216090667,43974879,216024573
44094564,216090571,44027709,216024476
43958396,215975349,43891542,215909252
44052005,215924249,43985142,215858139
43993404,215862004,43926551,215795908
44004364,215978549,43937508,215912436
43998899,215926140,43932035,215860045
43997473,215978777,43930617,215912671
44014406,215960809,43947548,215894714
44081985,215955694,44015129,215889599
44039944,215956274,43973084,215890168
43992182,215953348,43925307,215887242
43961200,215958216,43894348,215892112
44049366,215878260,43982506,215812138
43922883,216008836,43856021,215942717
43954524,215924457,43887665,215858340
44075216,215920495,44008360,215854384
43999203,215977058,43932343,215910941
44073616,216022459,44006747,215956336
43962588,216115052,43895736,216048932
44025047,215945591,43958184,215879465
43926639,216056793,43859787,215990673
43920839,216006791,43853978,215940665
43932916,215992173,43866048,215926028
44061667,216049270,43994810,215983133
44004542,215991179,43937686,215925058
43946811,216001824,43879938,215935685
43946298,215973131,43879433,215907014
44034329,216022843,43967470,215956711
44069564,215849878,44002706,215783748
43963391,216020056,43896531,215953921
44102901,216054107,44036047,215987979
44001731,215981700,43934880,215915581
44039793,215875051,43972939,215808911
44059895,215924075,43993028,215857929
43992374,216067876,43925508,216001738
44003181,215986929,43936317,215920787
44000153,215855288,43933298,215789159
44035497,216011962,43968637,215945815
43957070,216089342,43890218,216023218
43948709,215970748,43881852,215904603
43921301,216072380,43854448,216006251
43992082,216054852,43925229,215988718
43945017,215928346,43878177,215862215
43995685,215987785,43928827,215921627
43999091,216095482,43932228,216029325
43952164,215969327,43885323,215903196
43961515,216111036,43894669,216044885
44022453,216167351,43955598,216101195
43952694,215902773,43885848,215836618
43982198,215945465,43915345,215879306
44051068,215935467,43984223,215869316
43919245,216159956,43852385,216093811
43987571,216009730,43920707,215943565
44051097,215938000,43984249,215871847
44077147,215987730,44010297,215921573
44028908,215961220,43962052,215895060
44021542,216018256,43954677,215952090
43915829,216129086,43848980,216062923
44106523,216026963,44039669,215960805
43995569,215992508,43928722,215926351
43964876,216157866,43898029,216091700
43990847,215977267,43924004,215911105
43993262,215943627,43926402,215877458
44076498,216058029,44009642,215991854
43957409,215969231,43890570,215903071
44021050,216031035,43954203,215964870
43917743,216012496,43850888,215946321
43963799,216027874,43896948,215961705
44092159,216088441,44025323,216022273
43992127,216057403,43925283,215991233
43988293,215928632,43921452,215862459
43997745,215873091,43930893,215806927
44068590,215850900,44001738,215784722
44006321,215974606,43939479,215908431
44015765,216039399,43948919,215973227
44034872,215955784,43968019,215889608
44020635,215955176,43953785,215888997
44035552,216082087,43968697,216015904
43995627,215931028,43928777,215864853
44000693,215993032,43933848,215926859
43945820,216061223,43878974,215995044
43878051,216030698,43811201,215964509
44056433,215921932,43989590,215855759
44025365,215965299,43958520,215899115
44014229,216111090,43947386,216044907
44039935,215975819,43973080,215909633
44029201,216089970,43962360,216023791
43982550,215944121,43915710,215877930
43927650,216055861,43860806,215989662
44048787,216055546,43981951,215989357
43991110,216056385,43924270,215990202
43997352,216011752,43930511,215945560
43992227,215976962,43925368,215910749
44084293,216034895,44017453,215968699
43958202,216051410,43891369,215985222
44026566,216017860,43959729,215951674
44045148,215887159,43978304,215820964
44040145,216167620,43973309,216101423
44061750,215936595,43994924,215870410
43945636,215925245,43878788,215859036
44003032,216112059,43936194,216045864
43961064,215845307,43894218,215779096
44032208,216015305,43965363,215949104
44066090,215981438,43999238,215915222
44170047,215953225,44103212,215887041
44321037,215927177,44254194,215860979
44313701,216000570,44246852,215934363
44145000,216054069,44078148,215987864
44188244,215997006,44121395,215930796
44193080,216006509,44126233,215940296
44046811,216088267,43979960,216022053
44065352,216089679,43998517,216023480
44089960,215965240,44023112,215899032
44020283,216038997,43953451,215972805
43968498,216015024,43901657,215948814
44210999,216170340,44144169,216104137
44291233,216095742,44224386,216029535
44317198,215988363,44250357,215922162
44120880,215999874,44054034,215933648
44073520,216061048,44006681,215994832
44072254,216060754,44005427,215994562
44015675,216174163,43948844,216107973
43973358,215953847,43906514,215887634
43962154,215899017,43895301,215832790
44018901,215903689,43952056,215837483
43983907,215884426,43917064,215818205
44043458,215991270,43976620,215925054
44043438,215996930,43976600,215930706
44070451,215928453,44003612,215862221
44148671,216048372,44081838,215982145
44091193,216022392,44024356,215956167
44099915,215954281,44033088,215888053
43989061,215935078,43922228,215868859
44027191,215951219,43960356,215885001
43987927,216103133,43921082,216036905
43937834,215979149,43870986,215912918
43941999,216097858,43875161,216031633
44217066,216029652,44150208,215963414
44194642,215847775,44127796,215781550
44220269,215913808,44153429,215847571
44299034,216027041,44232185,215960806
44037246,216095809,43970420,216029570
44000146,215991074,43933313,215924846
43976302,215991882,43909457,215925650
43976938,216005062,43910106,215938838
43951312,216120811,43884470,216054576
43981865,215935121,43915023,215868887
44081903,215901126,44015068,215834897
44084533,216011659,44017686,215945419
44086039,215964073,44019206,215897833
44396801,215911357,44329968,215845119
44288767,215960516,44221937,215894273
44432618,216084952,44365774,216018710
44235890,215998535,44169064,215932302
44485144,216059047,44418303,215992808
44282739,216007497,44215914,215941261
44210267,216094834,44143420,216028581
44292377,215953842,44225531,215887591
44200374,216084742,44133551,216018506
44112498,215878231,44045643,215811982
44390571,215966750,44323735,215900501
44424791,216054902,44357957,215988649
44536747,216091435,44469899,216025173
44450882,215931020,44384055,215864766
44270282,215909902,44203450,215843638
44306797,215981923,44239954,215915667
44353062,215962281,44286221,215896026
44287143,215956528,44220302,215890265
44355250,215965211,44288414,215898958
44524556,216115394,44457723,216049140
44405933,216138300,44339090,216072019
44215469,216134701,44148636,216068435
44312605,215929034,44245767,215862755
44127483,215926730,44060658,215860485
44195230,215977804,44128395,215911522
44335040,216054566,44268212,215988288
44275610,216034126,44208765,215967846
44333878,215920026,44267060,215853770
44263089,215903780,44196269,215837519
44196279,215914785,44129460,215848521
44229139,216019149,44162301,215952877
44287906,216110909,44221073,216044638
44102329,216026695,44035503,215960391
44371260,215922089,44304435,215855812
44258567,216010201,44191751,215943929
44243490,216111307,44176659,216045022
44401772,216090254,44334945,216023956
44262456,216062649,44195636,215996360
