TR1,TR2,TP1,TP2
44031183,216184653,43964754,216117041
43997435,215932205,43931000,215864581
44008179,216101160,43941755,216033549
43959537,215964961,43893116,215897359
43928269,215994197,43861852,215926579
44067464,215922073,44001043,215854456
44026332,215970381,43959893,215902756
43988747,216083239,43922327,216015605
44057640,215992314,43991206,215924696
43963182,215958771,43896749,215891154
43961846,215962668,43895414,215895050
44061336,216056715,43994906,215989096
43954383,215924570,43887952,215856945
44094640,216028521,44028226,215960912
43988023,215953389,43921607,215885769
43879239,216036066,43812815,215968441
44022251,216124978,43955837,216057365
43917928,215879600,43851518,215811992
43987649,215930726,43921243,215863103
44016459,216090855,43950032,216023221
43951069,215925861,43884633,215858211
43967068,215976935,43900625,215909284
44010162,216098683,43943714,216031054
44004074,215931201,43937650,215863574
43986236,216061674,43919811,215994052
43927972,216064115,43861558,215996508
44012599,216097252,43946178,216029641
44077797,216068421,44011358,216000795
44035011,215954030,43968581,215886397
44076156,216139688,44009739,216072068
44028729,215960807,43962307,215893191
44025360,216044568,43958945,215976944
44000035,215922448,43933600,215854813
44018186,216090661,43951771,216023030
44034797,216101688,43968369,216034067
43922822,216055981,43856401,215988346
44013995,216055440,43947543,215987797
44074352,215994058,44007916,215926416
44029212,216039202,43962785,215971556
44009130,215918492,43942688,215850838
44008467,216060969,43942037,215993325
43958644,216027832,43892222,215960204
43997345,215927178,43930916,215859551
43959661,215901879,43893242,215834259
44037602,216022109,43971166,215954462
43995106,215935045,43928687,215867422
43950549,215913567,43884121,215845931
44036002,215952546,43969562,215884894
44116384,215953056,44049939,215885408
43997064,215932083,43930631,215864440
43960613,216036135,43894173,215968475
43917943,216090053,43851517,216022409
43978657,216089765,43912236,216022111
43953838,215977873,43887410,215910226
44021635,215847085,43955211,215779453
43994683,216008184,43928268,215940549
43952299,216122249,43885893,216054613
44086525,216064827,44020102,215997187
44047633,216103721,43981206,216036079
44056261,215989103,43989838,215921467
44026964,215971830,43960527,215904172
43959749,216019068,43893327,215951419
44057362,215938859,43990920,215871214
44018195,216090675,43951757,216023021
43915019,216098617,43848593,216030965
43927025,215997506,43860616,215929871
43926760,215995757,43860314,215928088
44078569,215848559,44012116,215780887
44047122,216015150,43980700,215947502
43992000,215930504,43925581,215862848
44004360,215920192,43937940,215852536
43920366,215940714,43853936,215873042
44057378,216093986,43990945,216026334
44001798,216005190,43935377,215937530
44035314,216027473,43968896,215959822
43951734,215934431,43885312,215866762
44025679,216045812,43959245,215978161
44033034,215956534,43966604,215888886
43885715,216043945,43819286,215976301
44022928,216086964,43956499,216019312
44050497,216086542,43984076,216018879
43929577,216077419,43863164,216009751
44020195,215923305,43953752,215855645
43981775,215960200,43915352,215892529
44003767,215991970,43937335,215924297
43962288,216042152,43895845,215974480
44094863,215975111,44028442,215907441
43974500,216093937,43908062,216026268
44004176,215926011,43937747,215858352
43969838,216032549,43903410,215964882
43994425,216062739,43928015,215995079
43989896,216016060,43923472,215948408
44021282,216055853,43954844,215988190
43986153,216012647,43919719,215944983
44013034,215978592,43946615,215910934
44023598,216043284,43957190,215975634
43981490,216061333,43915072,215993678
43927589,215994405,43861156,215926747
43958136,216029901,43891719,215962248
44027051,215961504,43960636,215893845
44051866,215873206,43985424,215805542
44001333,216009748,43934923,215942091
43910884,215956834,43844467,215889180
44048815,215955619,43982392,215887953
44022333,215919643,43955908,215851971
44092069,215842725,44025635,215775067
43927874,216051468,43861454,215983806
43992677,216052205,43926254,215984539
43949564,215930431,43883150,215862788
44045353,215942695,43978923,215875031
43948638,216055790,43882191,215988130
44017758,216133618,43951316,216065954
43994181,215927806,43927766,215860155
44009993,216141367,43943557,216073719
44092346,216118413,44025938,216050758
44048752,216001233,43982339,215933584
