Timestamp, True_X, True_Y, True_Z, Calc_X, Calc_Y, A0_True_Distance, A0_Raw_Dist, A0_RX_Power, A0_FP_Power, A0_Quality, A0_AI_Dist, A0_Final_Filtered_Dist, A1_True_Distance, A1_Raw_Dist, A1_RX_Power, A1_FP_Power, A1_Quality, A1_AI_Dist, A1_Final_Filtered_Dist, A2_True_Distance, A2_Raw_Dist, A2_RX_Power, A2_FP_Power, A2_Quality, A2_AI_Dist, A2_Final_Filtered_Dist, A3_True_Distance, A3_Raw_Dist, A3_RX_Power, A3_FP_Power, A3_Quality, A3_AI_Dist, A3_Final_Filtered_Dist
1776399302.9845924,0.35559999999999997,0.508,0.0,0.6100832744984204,0.6127575436283148,0.6604,0.51,-58.85,-77.45,101.4,0.6923296371829788,0.6635747856022456,0.6476999999999999,1.55,-56.76,-78.62,148.0,1.5157906818183748,1.4549830199074816,2.3367999999999998,2.18,-66.77,-100.09,51.19,2.1201769855707138,2.038681936736851,2.54,2.56,-63.13,-94.56,65.2,2.265845742203887,2.1824501192790917
1776399303.3123431,0.35559999999999997,0.508,0.0,0.5460244083435598,0.5478560532796506,0.6604,0.51,-59.0,-73.93,113.35,0.689728251344008,0.6922888694899015,0.6476999999999999,1.56,-57.32,-79.87,130.86,1.5155161182797232,1.52661264927374,2.3367999999999998,2.13,-65.64,-103.45,24.85,2.0720192826364485,2.100455067710272,2.54,2.59,-62.67,-91.14,107.75,2.360647068285434,2.3723250685010036
1776399303.5325842,0.35559999999999997,0.508,0.0,0.5431777722320621,0.5524314909544888,0.6604,0.49,-59.37,-75.46,78.39,0.6812572878569023,0.6889965170278827,0.6476999999999999,1.54,-57.43,-77.55,174.04,1.523424305294428,1.5367061387119132,2.3367999999999998,2.22,-67.67,-97.86,31.6,2.1077211397887616,2.125512585648822,2.54,2.57,-61.87,-91.99,134.0,2.3070239729188886,2.350362277609897
1776399303.6934977,0.35559999999999997,0.508,0.0,0.49984854056859046,0.5582339283099714,0.6604,0.47,-60.59,-74.93,106.57,0.6650236848406428,0.6732230535779244,0.6476999999999999,1.55,-56.82,-77.9,147.61,1.5145406818183749,1.5298138285447296,2.3367999999999998,2.36,-64.68,-90.95,117.25,2.1905844065504936,2.1896093050210403,2.54,2.61,-61.9,-90.59,111.35,2.3588410879282904,2.375429046646757
1776399303.862846,0.35559999999999997,0.508,0.0,0.48280383939204286,0.593800054406805,0.6604,0.5,-58.14,-73.4,98.6,0.6717743716419184,0.6736903479532343,0.6476999999999999,1.55,-56.49,-80.23,116.09,1.509891118279723,1.5215490802825222,2.3367999999999998,2.35,-63.92,-88.43,129.29,2.272300343594578,2.2667878791428695,2.54,2.57,-63.36,-95.73,43.9,2.273971241153702,2.315054388761651
1776399304.0322828,0.35559999999999997,0.508,0.0,0.4191948474668776,0.5781720616988437,0.6604,0.47,-60.09,-77.11,108.75,0.6656857904389814,0.6690887133304448,0.6476999999999999,1.54,-57.55,-79.37,166.46,1.520611805294428,1.527051284923506,2.3367999999999998,2.3,-63.81,-84.34,178.8,2.3214329363709543,2.3239284961485027,2.54,2.81,-60.79,-88.51,108.87,2.4280074785216534,2.4155395702881024
1776399304.1879373,0.35559999999999997,0.508,0.0,0.3786051999853204,0.5634531251233872,0.6604,0.5,-58.18,-73.38,131.56,0.6703908965483599,0.6711806617073849,0.6476999999999999,1.56,-57.77,-79.88,138.5,1.5245339741878412,1.5300019756181753,2.3367999999999998,2.29,-61.06,-78.06,203.8,2.3311703140758726,2.3425386522293103,2.54,2.67,-62.77,-89.87,119.3,2.5095759928666532,2.501433541832946
1776399304.3617578,0.35559999999999997,0.508,0.0,0.4019161654510624,0.6065838072947376,0.6604,0.5,-58.21,-71.7,133.33,0.6751144562886198,0.6752939845272405,0.6476999999999999,1.58,-55.84,-76.71,127.12,1.49907431917475,1.511039878411638,2.3367999999999998,2.34,-61.66,-80.31,183.35,2.3691012341892983,2.376253257100759,2.54,2.53,-63.2,-93.53,99.94,2.331044730170409,2.385717086236249
1776399304.5730796,0.35559999999999997,0.508,0.0,0.3945420957602553,0.5873598166051406,0.6604,0.51,-58.79,-73.54,78.18,0.6820851628341492,0.6816384779315904,0.6476999999999999,1.56,-57.79,-79.36,155.87,1.5357848324726715,1.5341211342447978,2.3367999999999998,2.4,-63.93,-88.02,154.1,2.353615608520814,2.3722378239074717,2.54,2.62,-63.99,-92.27,84.17,2.424430646286043,2.427044859571447
1776399304.75241,0.35559999999999997,0.508,0.0,0.4408232055413368,0.6097578285640142,0.6604,0.51,-59.02,-73.44,102.18,0.6854368161860999,0.685807722291799,0.6476999999999999,1.56,-56.65,-79.81,107.61,1.522059087029723,1.5285689775718927,2.3367999999999998,2.36,-63.9,-87.63,123.8,2.334703766663801,2.35404263110584,2.54,2.6,-62.64,-95.31,70.65,2.2875229469440956,2.328041796545377
