Timestamp, True_X, True_Y, True_Z, Calc_X, Calc_Y, A0_True_Distance, A0_Raw_Dist, A0_RX_Power, A0_FP_Power, A0_Quality, A0_AI_Dist, A0_Final_Filtered_Dist, A1_True_Distance, A1_Raw_Dist, A1_RX_Power, A1_FP_Power, A1_Quality, A1_AI_Dist, A1_Final_Filtered_Dist, A2_True_Distance, A2_Raw_Dist, A2_RX_Power, A2_FP_Power, A2_Quality, A2_AI_Dist, A2_Final_Filtered_Dist, A3_True_Distance, A3_Raw_Dist, A3_RX_Power, A3_FP_Power, A3_Quality, A3_AI_Dist, A3_Final_Filtered_Dist
1776398614.2867653,0.43179999999999996,0.635,0.0,0.40111227718964754,0.8529308305122877,0.7493,0.57,-59.98,-75.72,181.58,0.7515776988163483,0.7202566154909693,1.2572999999999999,1.19,-57.89,-73.72,194.92,1.050350062920487,1.0076229684017315,2.3241,2.25,-59.13,-81.46,165.71,2.34788337882985,2.2549709959606603,2.4764999999999997,2.29,-58.52,-77.14,172.62,2.4062109079102263,2.3144051144399156
1776398614.5043187,0.43179999999999996,0.635,0.0,0.3403866955271155,0.8284076061451034,0.7493,0.54,-58.57,-76.08,221.4,0.7396835180485601,0.7426394438333221,1.2572999999999999,1.24,-57.22,-72.58,167.46,1.0778013582982002,1.0749995634199805,2.3241,2.22,-60.25,-80.56,144.11,2.3252141048431967,2.338965279435238,2.4764999999999997,2.27,-56.71,-75.77,185.08,2.3994971068121687,2.4144553654530525
1776398614.7336845,0.43179999999999996,0.635,0.0,0.33253276589176134,0.8429072773165012,0.7493,0.54,-59.71,-71.99,197.25,0.7296506029914127,0.7372671882950267,1.2572999999999999,1.21,-56.31,-75.5,113.22,1.0338263864144968,1.0529674877689177,2.3241,2.27,-59.85,-79.88,122.47,2.334467765414965,2.3607429645996323,2.4764999999999997,2.27,-58.48,-75.09,161.21,2.358558048453655,2.399305236589126
1776398614.918165,0.43179999999999996,0.635,0.0,0.3101343255922325,0.8548330624155501,0.7493,0.58,-60.38,-72.39,168.11,0.7452317052312971,0.7477154098144018,1.2572999999999999,1.21,-56.0,-73.76,128.97,1.0347294341492352,1.0452074125174509,2.3241,2.4,-59.21,-79.2,109.25,2.3877022169329076,2.398454191555546,2.4764999999999997,2.27,-57.64,-78.36,168.75,2.3942551733630366,2.4138533134377576
1776398615.1199737,0.43179999999999996,0.635,0.0,0.4113591012303803,0.8087300730043844,0.7493,0.56,-61.49,-75.74,104.65,0.738502213753006,0.743581722787943,1.2572999999999999,1.19,-57.12,-74.81,163.61,1.063680728822571,1.0645207640183525,2.3241,2.3,-60.95,-89.25,114.21,2.1131724281973017,2.1908669519938635,2.4764999999999997,2.27,-58.09,-75.35,164.54,2.369077850485493,2.3956961334612306
1776398615.3273227,0.43179999999999996,0.635,0.0,0.35526018142487664,0.8436574001777827,0.7493,0.61,-59.82,-72.38,145.94,0.7662543957074877,0.7642582543172811,1.2572999999999999,1.24,-57.04,-74.59,139.56,1.0709824698507475,1.0747435488466024,2.3241,2.26,-58.66,-83.13,154.33,2.375223260174644,2.3407030395259354,2.4764999999999997,2.27,-57.27,-73.79,191.17,2.3637804970518084,2.3840119876163475
1776398615.531115,0.43179999999999996,0.635,0.0,0.35382989758750405,0.847055259043418,0.7493,0.56,-59.71,-74.86,120.86,0.7531947502496051,0.7585635066886546,1.2572999999999999,1.21,-56.85,-73.43,126.5,1.042093994535473,1.0535940001586384,2.3241,2.27,-61.38,-82.4,119.53,2.3125502474823643,2.3279710249092904,2.4764999999999997,2.27,-57.27,-75.62,184.12,2.379797571637576,2.3908725286285035
1776398615.7373538,0.43179999999999996,0.635,0.0,0.3394332573554686,0.8440091805424835,0.7493,0.58,-58.39,-76.15,160.79,0.7605642452884445,0.7624464120855876,1.2572999999999999,1.21,-58.03,-76.81,146.71,1.0619059413205036,1.0628454414585475,2.3241,2.3,-59.59,-78.56,130.44,2.3402815104914194,2.346188429119698,2.4764999999999997,2.31,-57.43,-76.07,223.4,2.4061594954443737,2.4115102374069424
1776398615.9266217,0.43179999999999996,0.635,0.0,0.3353082093107632,0.8445774797656854,0.7493,0.57,-59.32,-76.37,222.05,0.759807194687316,0.76249627636987,1.2572999999999999,1.22,-57.21,-78.5,124.75,1.0611745597807487,1.0642762732599764,2.3241,2.26,-58.98,-77.87,99.53,2.3477518174082253,2.354318762245512,2.4764999999999997,2.28,-57.28,-77.43,181.46,2.404105807619503,2.413224718604146
1776398616.135244,0.43179999999999996,0.635,0.0,0.35928480273612223,0.8359427452775297,0.7493,0.56,-60.42,-77.4,173.54,0.7525172031772005,0.7563480377514673,1.2572999999999999,1.22,-56.84,-74.95,162.25,1.083929966245586,1.0818573448866535,2.3241,2.29,-59.11,-76.98,95.77,2.3186637452770573,2.332685974237614,2.4764999999999997,2.27,-57.1,-74.56,185.87,2.3653541394556337,2.3826242330383076
1776398616.344078,0.43179999999999996,0.635,0.0,0.34794574686715785,0.8404340014190678,0.7493,0.58,-59.12,-73.52,188.62,0.7535796607276569,0.7553230351504414,1.2572999999999999,1.19,-55.91,-75.02,164.71,1.0694053153621077,1.0747080827680726,2.3241,2.25,-58.42,-78.22,106.69,2.3478402699560807,2.348933233103346,2.4764999999999997,2.27,-57.8,-76.7,124.75,2.3858171721135903,2.389459535535382
1776398616.5609074,0.43179999999999996,0.635,0.0,0.343099205056903,0.8536652464785661,0.7493,0.59,-59.81,-74.27,189.0,0.7638667606439481,0.762969223684342,1.2572999999999999,1.22,-56.71,-76.35,122.97,1.040244207694435,1.0496102781246441,2.3241,2.25,-57.96,-77.53,133.69,2.3427434719379288,2.348413148884543,2.4764999999999997,2.27,-58.18,-77.01,176.08,2.3916857806667196,2.395111821060988
1776398616.7844043,0.43179999999999996,0.635,0.0,0.3486367933945382,0.8531275879572536,0.7493,0.58,-60.8,-75.5,177.96,0.7624796809896438,0.7636075126874606,1.2572999999999999,1.2,-57.26,-77.58,151.86,1.0618112403819313,1.059634518123392,2.3241,2.29,-59.74,-79.65,141.04,2.349802653586201,2.353115888244464,2.4764999999999997,2.29,-57.16,-75.04,160.75,2.3720586710691784,2.380480835511895
1776398616.9672356,0.43179999999999996,0.635,0.0,0.3365165224906481,0.8590748836886439,0.7493,0.59,-59.66,-75.2,232.15,0.7676534149358389,0.7677064216029034,1.2572999999999999,1.21,-57.64,-75.68,141.78,1.0570884444341349,1.0584369334840822,2.3241,2.31,-58.02,-78.95,145.29,2.380677258345865,2.3774993190054143,2.4764999999999997,2.31,-57.26,-74.55,226.6,2.383411344905094,2.384630216071575
1776398617.1587837,0.43179999999999996,0.635,0.0,0.33711227821626083,0.853811418809728,0.7493,0.61,-59.66,-74.27,188.17,0.778975751021715,0.7771804612422383,1.2572999999999999,1.21,-57.21,-76.39,135.16,1.0435300148344113,1.0474468906813186,2.3241,2.29,-59.99,-82.86,124.71,2.325484366665195,2.340410314835087,2.4764999999999997,2.33,-57.36,-76.48,175.37,2.431888354865838,2.423039173990958
1776398617.3273199,0.43179999999999996,0.635,0.0,0.33035149741641323,0.8527025225852849,0.7493,0.6,-61.82,-76.14,171.67,0.7793435571996417,0.779877685514875,1.2572999999999999,1.21,-56.74,-74.22,145.59,1.0627784525377775,1.0593298199827195,2.3241,2.31,-59.44,-81.49,135.68,2.362346110283893,2.35872595115338,2.4764999999999997,2.31,-56.78,-77.61,136.56,2.422048599925437,2.4248887614232717
1776398617.5113835,0.43179999999999996,0.635,0.0,0.33974730484352567,0.8399399162636316,0.7493,0.58,-59.85,-74.25,189.71,0.7716382145013699,0.7744291986425675,1.2572999999999999,1.21,-57.65,-74.92,159.75,1.0722726357507393,1.069786798635218,2.3241,2.29,-60.13,-84.54,145.17,2.3246127247013746,2.334228597857559,2.4764999999999997,2.31,-57.25,-77.53,180.21,2.429836658088494,2.431197165467415
