name,bias_A1,bias_A2,bias_A3,bias_A4,bias_A5,sig_A1,sig_A2,sig_A3,sig_A4,sig_A5
middle,0.17520000000000002,0.7160000000000002,0.030749999999999833,0.3106,0.10475000000000001,196.29,194.6,199.82,188.78,199.11
top-high,0.25034999999999963,0.25685,-0.15474999999999994,0.2721,0.06464999999999999,193.89,200.04,200.89,191.92,199.5
top-low,0.37864999999999993,-0.06945000000000001,-0.11309999999999998,0.21744999999999992,0.17395000000000005,189.92,200.48,203.06,190.66,192.84
bottom-low,0.09494999999999987,0.5926,0.15100000000000025,0.44320000000000004,0.16890000000000005,194.79,193.45,198.67,192.94,199.52
bottom-high,0.18269999999999986,0.7910000000000004,0.08939999999999992,0.5267,0.10845000000000005,197.27,191.62,197.6,197.23,196.65
