0.13,-58.09,-76.73,114.39,0.127,0.17,-57.01,-75.40,150.14,0.254
0.18,-58.88,-81.31,79.65,0.127,0.20,-56.90,-76.84,175.50,0.254
0.16,-57.91,-76.84,130.44,0.127,0.15,-57.68,-75.56,137.22,0.254
0.21,-58.21,-82.19,93.97,0.127,0.22,-56.44,-74.33,130.28,0.254
0.24,-57.33,-76.10,117.64,0.127,0.20,-57.13,-73.36,118.62,0.254
0.20,-56.61,-74.93,136.06,0.127,0.23,-56.35,-74.58,116.37,0.254
0.27,-59.21,-77.26,84.98,0.127,0.19,-57.46,-75.13,122.00,0.254
0.19,-59.38,-76.09,83.21,0.127,0.20,-56.73,-74.72,144.78,0.254
0.18,-57.23,-76.15,100.22,0.127,0.14,-55.78,-75.96,161.71,0.254
0.24,-58.23,-80.60,85.68,0.127,0.19,-55.79,-73.67,296.75,0.254
0.16,-58.13,-77.33,105.10,0.127,0.16,-57.23,-73.23,298.94,0.254
0.18,-59.68,-80.78,90.28,0.127,0.20,-56.93,-76.10,183.75,0.254
0.17,-60.39,-77.12,74.09,0.127,0.20,-56.49,-76.45,186.96,0.254
0.15,-59.74,-78.49,82.80,0.127,0.16,-56.18,-73.09,128.86,0.254
0.15,-58.33,-76.60,81.29,0.127,0.18,-56.47,-76.06,140.03,0.254
0.24,-58.60,-79.34,85.91,0.127,0.17,-56.01,-72.45,132.97,0.254
0.18,-58.44,-83.87,67.45,0.127,0.25,-56.92,-76.11,141.75,0.254
0.15,-57.83,-76.41,103.75,0.127,0.18,-57.11,-73.90,124.00,0.254
0.19,-56.34,-81.42,68.09,0.127,0.17,-56.81,-74.70,143.06,0.254
0.14,-57.64,-77.03,99.30,0.127,0.18,-56.34,-72.20,131.58,0.254
0.24,-58.97,-80.28,86.28,0.127,0.20,-56.10,-73.74,94.65,0.254
0.19,-58.57,-75.57,70.64,0.127,0.20,-56.63,-77.01,109.45,0.254
0.23,-58.35,-78.62,92.75,0.127,0.18,-56.74,-75.60,102.90,0.254
0.18,-56.34,-73.92,71.37,0.127,0.21,-56.21,-74.43,95.58,0.254
0.13,-57.78,-76.93,71.93,0.127,0.20,-56.99,-72.34,108.61,0.254
0.19,-57.28,-78.79,87.25,0.127,0.20,-57.11,-74.96,127.64,0.254
0.18,-57.78,-74.16,96.87,0.127,0.19,-56.66,-74.04,103.80,0.254
0.18,-58.27,-77.38,78.94,0.127,0.23,-56.64,-75.36,99.95,0.254
0.14,-58.59,-75.26,102.90,0.127,0.21,-56.11,-75.84,135.75,0.254
0.13,-57.97,-76.63,88.40,0.127,0.17,-57.11,-75.35,169.87,0.254
0.18,-58.54,-79.45,82.90,0.127,0.19,-57.00,-77.09,175.04,0.254
0.15,-59.67,-76.07,105.93,0.127,0.22,-57.08,-78.62,147.79,0.254
0.13,-57.71,-75.95,94.52,0.127,0.16,-56.57,-73.51,192.04,0.254
0.13,-57.74,-80.19,95.97,0.127,0.20,-56.90,-74.61,164.29,0.254
0.17,-58.54,-76.63,121.86,0.127,0.20,-57.20,-78.88,145.64,0.254
0.15,-56.92,-76.42,113.83,0.127,0.18,-57.35,-75.06,161.68,0.254
0.16,-58.90,-76.22,98.89,0.127,0.20,-55.87,-74.42,161.50,0.254
0.13,-58.43,-75.68,115.03,0.127,0.19,-57.38,-74.46,126.39,0.254
0.16,-58.12,-78.33,113.06,0.127,0.19,-56.01,-73.24,166.96,0.254
0.13,-58.16,-74.35,101.23,0.127,0.20,-55.59,-73.49,131.22,0.254
0.14,-58.05,-75.63,80.60,0.127,0.20,-56.89,-74.95,133.41,0.254
0.16,-57.81,-79.01,101.10,0.127,0.19,-55.92,-73.36,132.08,0.254
0.16,-58.43,-77.09,121.14,0.127,0.20,-55.93,-74.15,163.96,0.254
0.14,-58.11,-76.20,117.58,0.127,0.14,-56.63,-73.64,144.41,0.254
0.20,-58.03,-79.03,97.70,0.127,0.20,-56.62,-75.85,134.19,0.254
0.17,-58.78,-77.14,119.89,0.127,0.23,-56.32,-76.04,159.61,0.254
0.16,-58.21,-76.89,118.72,0.127,0.16,-57.48,-73.21,168.11,0.254
0.16,-57.40,-79.40,100.78,0.127,0.18,-56.63,-74.20,168.07,0.254
0.12,-58.03,-74.87,102.93,0.127,0.21,-56.02,-74.65,105.41,0.254
0.14,-58.33,-76.26,94.07,0.127,0.20,-56.57,-73.18,194.50,0.254
0.19,-57.45,-79.08,89.07,0.127,0.22,-56.50,-74.58,162.79,0.254
0.16,-58.19,-75.02,99.52,0.127,0.20,-56.85,-77.45,177.21,0.254
0.14,-58.91,-76.46,96.30,0.127,0.18,-56.05,-74.25,161.86,0.254
