A0_Raw_Dist,A0_RX_Power,A0_FP_Power,A0_Quality,A0_True_Distance,A1_Raw_Dist,A1_RX_Power,A1_FP_Power,A1_Quality,A1_True_Distance
1.62,-56.44,-74.25,125.64,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.82,-57.75,-73.89,145.06,1.5112999999999999,1.16,-58.36,-77.69,115.14,1.2191999999999998
1.57,-58.71,-75.89,145.25,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.89,-57.91,-74.75,189.58,1.5112999999999999,1.17,-57.17,-76.51,134.31,1.2191999999999998
1.60,-57.21,-75.11,158.25,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.85,-57.82,-76.70,153.57,1.5112999999999999,1.15,-58.32,-73.52,129.69,1.2191999999999998
1.60,-58.23,-73.76,165.04,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.79,-58.02,-74.51,182.54,1.5112999999999999,1.19,-57.24,-74.56,142.87,1.2191999999999998
1.61,-57.10,-74.07,162.46,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.84,-56.63,-76.20,119.92,1.5112999999999999,1.16,-59.05,-76.57,105.35,1.2191999999999998
1.62,-56.53,-75.40,157.32,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.81,-57.32,-77.85,144.00,1.5112999999999999,1.18,-56.35,-73.95,164.75,1.2191999999999998
1.66,-56.65,-78.80,142.71,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.79,-57.15,-74.99,188.21,1.5112999999999999,1.17,-56.57,-77.22,90.25,1.2191999999999998
1.65,-57.23,-77.05,152.11,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.84,-58.58,-76.44,154.54,1.5112999999999999,1.18,-56.45,-75.22,157.96,1.2191999999999998
1.58,-56.81,-74.55,161.36,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.83,-58.58,-73.83,143.66,1.5112999999999999,1.18,-57.12,-73.76,144.19,1.2191999999999998
1.63,-57.50,-74.70,142.81,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.80,-58.65,-74.82,185.67,1.5112999999999999,1.20,-56.90,-74.16,124.89,1.2191999999999998
1.64,-56.92,-76.15,140.56,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.84,-56.69,-74.83,140.44,1.5112999999999999,1.17,-57.04,-78.67,102.95,1.2191999999999998
1.63,-57.90,-78.64,114.39,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.80,-57.08,-74.91,186.42,1.5112999999999999,1.16,-57.01,-74.62,113.62,1.2191999999999998
1.62,-57.63,-74.18,166.61,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.80,-58.70,-75.64,174.71,1.5112999999999999,1.18,-56.53,-74.11,102.11,1.2191999999999998
1.59,-57.43,-74.07,139.78,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.78,-57.20,-74.90,190.92,1.5112999999999999,1.14,-56.74,-77.45,112.61,1.2191999999999998
1.63,-57.11,-74.98,192.62,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.77,-57.94,-74.92,188.50,1.5112999999999999,1.14,-57.94,-76.31,90.96,1.2191999999999998
1.60,-57.99,-74.47,160.04,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.78,-57.45,-76.21,146.21,1.5112999999999999,1.16,-59.01,-80.49,80.48,1.2191999999999998
1.61,-57.64,-73.62,168.14,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.80,-57.44,-75.59,149.75,1.5112999999999999,1.16,-57.98,-73.73,142.22,1.2191999999999998
1.62,-57.79,-73.36,147.66,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.81,-58.10,-73.39,235.00,1.5112999999999999,1.18,-57.35,-75.43,96.82,1.2191999999999998
1.59,-57.67,-74.02,144.66,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.82,-57.90,-74.94,160.93,1.5112999999999999,1.18,-56.35,-73.24,113.55,1.2191999999999998
1.62,-57.43,-73.93,141.31,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.79,-57.44,-76.40,156.79,1.5112999999999999,1.17,-57.98,-80.01,87.80,1.2191999999999998
1.64,-56.58,-74.34,161.04,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.79,-57.59,-76.68,151.75,1.5112999999999999,1.16,-57.71,-78.26,110.19,1.2191999999999998
1.64,-57.35,-74.63,145.94,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.80,-57.30,-75.57,183.04,1.5112999999999999,1.17,-56.52,-73.39,115.15,1.2191999999999998
1.64,-57.62,-77.33,128.22,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.81,-57.60,-76.94,163.17,1.5112999999999999,1.16,-56.37,-74.89,113.12,1.2191999999999998
1.63,-57.25,-73.87,142.53,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.82,-57.53,-78.78,161.29,1.5112999999999999,1.18,-57.38,-79.02,100.95,1.2191999999999998
1.62,-57.61,-76.47,138.94,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.79,-57.42,-74.81,228.25,1.5112999999999999,1.16,-57.10,-74.36,99.73,1.2191999999999998
1.60,-57.85,-75.47,140.03,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.79,-57.60,-75.10,188.62,1.5112999999999999,1.16,-57.53,-75.91,115.94,1.2191999999999998
1.61,-57.58,-73.64,129.00,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.79,-57.70,-74.74,230.20,1.5112999999999999,1.15,-57.61,-75.62,79.80,1.2191999999999998
1.61,-57.68,-73.35,126.72,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.80,-57.45,-75.15,278.06,1.5112999999999999,1.15,-57.87,-77.00,113.42,1.2191999999999998
1.62,-57.77,-78.19,126.78,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.79,-57.90,-75.99,206.50,1.5112999999999999,1.18,-58.08,-80.21,96.28,1.2191999999999998
1.64,-57.41,-73.99,143.69,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.82,-57.32,-76.74,217.20,1.5112999999999999,1.17,-57.91,-76.88,125.28,1.2191999999999998
1.64,-57.54,-74.83,135.75,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.80,-57.87,-77.31,171.46,1.5112999999999999,1.15,-58.12,-76.39,88.08,1.2191999999999998
1.61,-57.69,-73.65,164.07,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.81,-57.50,-73.87,226.10,1.5112999999999999,1.13,-58.22,-77.13,101.07,1.2191999999999998
1.59,-57.23,-77.52,154.57,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.80,-57.23,-75.47,216.60,1.5112999999999999,1.15,-57.43,-78.27,103.72,1.2191999999999998
1.62,-57.26,-74.49,161.71,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.79,-65.62,-77.59,155.43,1.5112999999999999,1.18,-57.21,-73.24,105.23,1.2191999999999998
1.62,-58.34,-74.05,144.47,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.78,-57.13,-77.00,211.10,1.5112999999999999,1.16,-57.51,-75.42,107.72,1.2191999999999998
1.64,-57.60,-74.04,142.56,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.80,-56.79,-73.65,288.06,1.5112999999999999,1.15,-58.08,-77.22,126.31,1.2191999999999998
1.61,-58.17,-76.45,129.91,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.82,-56.85,-74.54,189.21,1.5112999999999999,1.16,-57.41,-73.63,76.20,1.2191999999999998
1.61,-58.06,-77.17,129.66,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.81,-57.00,-77.96,247.37,1.5112999999999999,1.16,-57.80,-73.75,111.78,1.2191999999999998
1.60,-58.19,-74.33,143.00,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.82,-57.32,-75.39,173.79,1.5112999999999999,1.17,-57.29,-77.05,99.34,1.2191999999999998
1.61,-57.29,-73.13,146.19,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.81,-57.23,-75.49,176.71,1.5112999999999999,1.15,-57.99,-77.99,113.81,1.2191999999999998
1.60,-57.38,-73.26,166.50,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.81,-57.08,-75.65,220.20,1.5112999999999999,1.15,-58.06,-75.58,76.89,1.2191999999999998
1.64,-57.44,-73.10,146.34,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.82,-57.28,-76.94,162.96,1.5112999999999999,1.17,-57.39,-77.44,133.75,1.2191999999999998
1.63,-56.82,-73.86,160.86,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.80,-56.98,-74.83,224.75,1.5112999999999999,1.15,-57.58,-75.35,135.72,1.2191999999999998
1.59,-57.66,-75.59,157.61,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.80,-56.87,-74.56,189.96,1.5112999999999999,1.16,-57.48,-76.86,91.27,1.2191999999999998
1.60,-57.32,-79.33,129.06,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.82,-56.77,-73.88,228.25,1.5112999999999999,1.16,-56.85,-73.32,87.02,1.2191999999999998
1.60,-57.09,-74.97,139.91,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.80,-56.66,-75.52,138.69,1.5112999999999999,1.18,-57.86,-76.72,77.46,1.2191999999999998
1.62,-57.19,-73.26,166.54,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.76,-56.39,-74.10,160.89,1.5112999999999999,1.16,-56.42,-74.22,122.58,1.2191999999999998
1.60,-57.75,-76.85,133.44,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.82,-56.69,-76.16,132.87,1.5112999999999999,1.18,-56.36,-76.31,92.58,1.2191999999999998
1.63,-57.58,-73.02,166.89,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.87,-56.06,-76.13,155.29,1.5112999999999999,1.18,-56.38,-75.02,158.89,1.2191999999999998
1.59,-58.49,-75.98,146.50,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.85,-58.00,-75.82,153.07,1.5112999999999999,1.20,-55.96,-77.23,116.39,1.2191999999999998
1.59,-58.37,-78.88,148.57,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.82,-57.20,-73.88,158.82,1.5112999999999999,1.20,-56.14,-77.52,116.56,1.2191999999999998
1.60,-57.83,-74.96,162.43,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.81,-58.19,-76.31,215.75,1.5112999999999999,1.19,-56.61,-75.82,123.86,1.2191999999999998
1.62,-57.15,-73.00,194.92,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.79,-56.67,-75.90,150.39,1.5112999999999999,1.18,-56.72,-76.37,121.72,1.2191999999999998
1.58,-57.72,-74.83,163.14,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.83,-56.66,-80.44,128.71,1.5112999999999999,1.18,-56.29,-76.72,117.42,1.2191999999999998
1.62,-58.79,-75.54,111.89,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.80,-57.14,-77.30,162.46,1.5112999999999999,1.17,-57.03,-74.67,112.40,1.2191999999999998
1.58,-58.19,-74.32,144.50,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.79,-56.70,-77.71,126.06,1.5112999999999999,1.19,-56.79,-73.70,113.62,1.2191999999999998
1.58,-58.28,-77.82,120.22,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.77,-56.44,-73.98,163.32,1.5112999999999999,1.16,-57.07,-74.77,125.83,1.2191999999999998
1.63,-58.22,-73.90,163.82,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.79,-58.58,-76.57,134.62,1.5112999999999999,1.18,-57.50,-75.53,119.17,1.2191999999999998
1.65,-58.13,-75.36,119.11,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.80,-57.71,-77.73,144.96,1.5112999999999999,1.17,-56.18,-75.65,138.09,1.2191999999999998
1.63,-57.76,-73.69,145.66,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.84,-57.07,-77.17,144.32,1.5112999999999999,1.18,-57.97,-75.83,185.00,1.2191999999999998
1.60,-58.59,-77.09,145.39,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.80,-57.66,-76.32,136.16,1.5112999999999999,1.17,-55.88,-74.99,160.68,1.2191999999999998
1.62,-57.24,-75.81,154.57,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.80,-58.19,-77.94,142.39,1.5112999999999999,1.16,-55.68,-76.10,160.93,1.2191999999999998
1.62,-57.04,-73.90,192.08,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.82,-56.94,-76.62,130.25,1.5112999999999999,1.18,-56.04,-75.95,130.28,1.2191999999999998
1.62,-57.90,-76.72,125.41,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.83,-58.25,-75.53,184.87,1.5112999999999999,1.16,-56.74,-74.11,125.11,1.2191999999999998
1.60,-57.30,-74.12,162.89,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.81,-57.96,-73.55,187.46,1.5112999999999999,1.18,-57.11,-73.63,127.86,1.2191999999999998
1.63,-57.92,-77.60,111.81,1.6129,-1.00,0.00,0.00,0.00,1.3589,1.81,-58.04,-74.75,228.10,1.5112999999999999,1.18,-57.05,-73.86,126.61,1.2191999999999998
